63.2742 S, 115.9766 W
54.3110 S, 126.9635 E
30.3737 N, 120.4502 W
38.8419 S, 83.6779 W
37.6620 N, 68.9005 E
8.3585 S, 138.4550 E
77.5455 N, 126.2956 E
33.3128 S, 174.0516 W
65.6161 N, 118.2905 E
10.4124 N, 98.1909 E
88.2920 S, 91.4343 W
52.9203 N, 166.8466 E
70.4227 S, 74.4676 W
31.1601 S, 92.5873 E
43.4665 N, 48.7344 E
18.4226 N, 111.2776 W
6.0238 N, 69.8969 E
41.1622 S, 168.1914 W
41.0259 S, 33.5124 W
22.1527 S, 57.9459 E
13.5431 S, 135.4681 W
14.4331 N, 167.7558 E
81.7736 S, 8.6944 W
82.1901 N, 57.1392 E
58.9282 S, 21.5062 W
59.8658 N, 52.4748 E
55.1613 S, 28.4071 W
32.2456 N, 39.1198 E
34.4467 S, 19.4160 W
78.6883 S, 89.6833 W
10.8156 S, 57.3483 E
19.9958 S, 30.7896 E
12.2877 S, 139.5866 E
81.2251 S, 138.0826 E
37.3652 S, 130.8192 W
73.5592 S, 148.7817 E
42.9416 S, 122.1471 E
61.8036 S, 39.0275 W
62.0838 N, 153.2904 E
39.6820 S, 115.8089 E
44.6955 N, 49.3359 E
20.1911 N, 52.7049 E
80.4579 N, 38.0677 E
54.7133 S, 51.7795 E
23.4757 N, 53.1328 E
42.1654 S, 144.4158 W
27.5123 S, 110.3489 W
1.8192 N, 74.5814 E
2.9673 N, 112.5587 E
11.2263 N, 21.4972 E
63.2329 N, 35.6618 E
79.4797 N, 155.8923 W
24.7748 S, 1.8577 W
35.3527 N, 167.6316 E
6.6303 S, 75.4512 E
63.5955 N, 4.3965 E
80.9723 S, 32.7303 E
3.7262 S, 87.1573 E
88.5665 S, 21.5366 E
35.5462 S, 174.4933 E
4.7300 N, 10.6924 E
6.5756 S, 154.7115 W
61.5365 N, 29.3191 W
76.3000 S, 92.1553 W
62.7487 S, 61.3334 E
76.3078 S, 59.5129 W
25.6489 N, 38.9051 E
26.9015 N, 91.3331 W
19.8424 N, 136.8406 E
53.8864 N, 134.0811 W
11.4473 S, 39.1363 W
30.6210 S, 91.4908 E
79.1647 S, 30.8341 E
39.9097 N, 70.8940 E
7.1187 N, 122.8568 W
75.6291 S, 22.2865 E
36.7823 S, 34.4520 W
47.7839 S, 41.2047 E
43.1191 S, 53.0444 E
51.5793 N, 4.4888 E
32.2741 N, 24.1273 W
56.4335 S, 44.3159 E
45.3169 S, 134.7901 E
84.0692 S, 135.2048 E
3.1293 N, 72.6415 W
65.9187 N, 7.3151 W
86.8820 N, 11.7452 W
25.6611 S, 21.1978 E
67.0129 S, 112.0518 E
18.7707 N, 96.7445 W
9.0388 N, 66.2055 E
25.9269 S, 27.6653 E
67.4991 N, 176.9996 W
79.5964 N, 46.6119 W
32.8016 S, 156.7471 E
42.5042 N, 163.5911 W
85.7175 N, 155.3623 W
45.9321 N, 2.9824 W
22.9996 N, 104.8953 W
13.0757 S, 11.1229 E
55.4339 N, 31.3764 E
76.3286 S, 40.2043 W
89.8198 S, 129.6019 W
52.8386 N, 74.2897 E
34.4336 N, 31.6131 W
70.4860 N, 72.8559 W
79.8626 S, 70.7241 W
48.4318 S, 144.1189 W
49.6529 N, 91.0383 E
30.4837 S, 159.5281 E
73.5321 S, 8.4526 E
69.8720 N, 16.6828 W
48.7749 S, 160.4700 E
2.4145 S, 5.2394 W
79.7136 N, 66.6640 E
16.2993 S, 42.8280 W
1.2497 N, 21.8866 E
50.6030 S, 88.5525 W
53.7560 S, 69.9359 W
85.0843 N, 177.0953 E
22.8437 N, 79.3981 E
32.2580 S, 113.0384 E
15.4101 N, 30.6126 W
65.9556 S, 1.6442 E
23.9538 N, 156.8798 W
72.2404 S, 36.0399 E
32.0195 N, 120.5560 W
65.4765 N, 25.4132 E
62.4763 S, 60.6462 E
28.2350 N, 147.8258 E
54.1510 N, 10.4830 W
74.5963 S, 45.4539 W
15.1539 N, 32.8218 W
16.7344 N, 95.7901 W
63.4418 S, 86.2060 W
47.9243 N, 88.5555 W
1.8945 N, 117.2415 W
30.3906 N, 177.2531 W
67.5833 N, 29.8972 E
56.6476 S, 125.1395 E
6.8300 N, 108.5765 W
70.1929 S, 123.5398 E
61.1381 S, 35.6781 W
36.0170 S, 4.8737 W
49.5027 S, 15.3221 W
25.4072 S, 41.7139 E
8.2735 N, 71.2469 W
1.6217 S, 76.6795 W
84.2513 S, 141.4857 E
29.2947 S, 98.9574 E
16.0166 N, 69.3546 W
40.7028 N, 167.9479 W
47.1325 S, 140.9594 E
88.1864 N, 153.8334 W
34.2107 S, 173.9063 E
10.5487 N, 17.2031 W
65.9535 N, 43.4022 E
74.0151 N, 95.3699 W
5.7170 N, 6.4322 W
58.7442 S, 38.7050 W
23.3731 N, 131.9883 E
31.9488 S, 25.1505 E
32.8730 N, 7.4170 E
6.0023 S, 82.9075 E
63.8082 S, 125.8590 W
11.9936 S, 154.2244 E
28.4895 N, 0.2902 W
19.9060 N, 108.2366 W
84.3577 S, 10.0583 E
49.2331 S, 134.8580 W
66.7645 N, 47.5952 W
76.2416 S, 33.9532 W
18.2135 S, 129.6049 W
35.5790 S, 50.5214 E
36.8501 N, 71.8520 E
76.1360 S, 35.5405 W
34.5980 S, 54.3701 E
6.8338 S, 73.6484 E
52.0913 N, 30.2340 W
76.9549 N, 123.3920 W
39.2717 S, 109.7613 W
60.9544 N, 79.3082 E
9.0075 N, 142.5224 W
0.0600 S, 106.3355 E
16.7860 N, 96.7721 W
13.8288 N, 100.3712 W
78.7346 S, 123.6680 E
61.1569 N, 171.4015 W
71.0270 S, 85.8840 W
45.4324 N, 6.8910 E
46.8023 S, 135.5478 E
83.1427 N, 5.9416 E
4.6180 N, 49.1515 W
17.0378 S, 52.8592 E
25.8942 N, 140.4645 W
82.1660 N, 59.0931 E
58.0334 N, 103.1552 W
40.1347 N, 146.2102 W
51.2416 N, 143.1421 E
81.6915 N, 117.8180 E
86.7350 N, 86.1060 W
73.0436 N, 137.7877 E
63.0639 S, 158.4667 W
43.5804 S, 10.6876 W
17.4446 S, 77.1254 E
3.1112 N, 155.9582 W
79.4699 N, 5.7613 E
86.1962 S, 173.2627 E
12.0522 N, 97.2473 W
51.5963 S, 44.6729 W
7.2834 N, 169.5386 E
14.1592 N, 13.1907 W
32.7892 N, 19.9286 W
50.1311 N, 133.0335 E
1.1487 S, 76.4513 E
19.3211 N, 141.3497 W
58.0262 S, 70.7336 E
56.2521 N, 87.5456 W
30.9352 S, 79.0952 W
68.0911 N, 46.0368 W
30.2543 N, 86.7595 W
48.9067 N, 11.6993 W
2.9793 N, 156.2497 W
40.3167 S, 97.0709 E
9.2784 N, 129.9248 E
62.5591 S, 122.2324 W
80.6926 S, 174.6283 E
62.4914 S, 151.4133 W
33.9122 N, 66.2383 W
4.4234 N, 91.4111 E
89.8657 N, 104.8681 W
83.3651 N, 57.6932 W
82.9592 N, 151.3265 E
12.5554 N, 118.2822 E
5.6632 N, 53.7794 W
13.2281 N, 54.1526 W
29.8388 N, 172.5076 E
63.1682 N, 141.9337 E
72.5564 N, 34.9145 W
86.2713 N, 120.2521 W
52.0369 S, 139.8065 E
50.8701 S, 123.9996 W
29.4564 N, 102.5559 W
69.8746 S, 137.3204 W
82.5426 S, 32.4675 E
61.4486 N, 45.8208 W
50.0767 S, 59.5112 W
65.3120 S, 150.2371 E
3.1739 S, 65.0295 E
54.5014 N, 172.8031 W
56.0996 N, 97.9931 W
15.5104 N, 22.5313 W
30.0257 N, 59.5159 E
79.1343 N, 43.1124 W
73.1787 N, 170.3290 E
14.2201 N, 140.3306 W
37.7519 S, 11.9018 W
23.5427 N, 95.2960 E
78.9517 S, 164.3674 W
15.7789 S, 109.8114 W
19.3062 N, 151.9325 E
12.0452 N, 34.1561 W
66.5615 N, 87.6964 W
43.2724 S, 134.3279 E
42.4796 S, 116.2764 E
18.4979 S, 168.5896 E
7.5108 S, 67.9268 E
21.7749 N, 74.3458 W
67.3053 N, 36.2464 E
42.4814 N, 16.7438 W
68.1766 S, 89.5409 W
9.1267 N, 67.6421 W
86.1980 S, 106.1816 E
52.2379 S, 54.7779 E
36.1559 S, 156.0068 E
54.9957 S, 63.7500 W
62.1954 S, 97.8214 E
73.9789 N, 127.7096 W
83.0896 S, 162.1725 E
42.0513 N, 8.5823 E
74.7655 S, 168.5285 E
81.0378 N, 49.1482 W
87.5552 S, 164.7801 E
85.0282 S, 114.0255 E
51.5006 N, 169.9392 E
38.6534 N, 132.1407 W
3.9083 N, 35.3295 W
2.3363 N, 86.7789 W
38.4549 S, 97.3645 W
36.7188 N, 88.3237 E
10.0281 S, 137.8493 W
79.5449 S, 76.0641 W
49.1094 S, 12.5256 W
18.9964 N, 81.8308 E
53.1048 S, 133.8485 E
75.5988 N, 100.6037 E
52.8757 N, 14.7105 W
69.4475 S, 160.0039 W
78.6729 N, 70.3421 W
4.5143 N, 102.0149 W
42.9334 S, 98.8004 W
58.8464 S, 152.7382 W
82.5356 N, 58.7107 W
4.7862 S, 27.2559 E
57.7357 N, 139.1560 W
31.8020 S, 133.2660 E
62.3907 N, 145.3191 W
85.7112 N, 178.3932 W
71.0850 S, 23.9121 E
24.9406 S, 160.2831 E
44.2878 N, 87.4078 E
12.0851 S, 166.8399 W
45.1363 S, 95.3026 W
17.9925 N, 96.6210 E
22.9897 N, 116.5407 E
8.9014 S, 169.8766 E
77.8583 N, 155.1417 E
2.9558 S, 177.4304 E
36.7142 S, 10.6175 E
80.3236 S, 82.8067 E
85.5262 S, 112.8643 E
38.1903 N, 33.5317 E
6.4944 S, 15.6465 E
9.7215 N, 153.4495 E
9.4784 N, 9.1950 E
45.8622 S, 161.8439 W
23.2498 N, 86.6495 W
66.1843 S, 148.2854 W
63.7022 S, 88.4214 E
41.9078 S, 173.4388 W
2.1683 N, 169.5069 E
40.2711 N, 120.7777 W
38.6702 S, 103.6522 W
29.7774 N, 171.8819 W
45.1728 N, 177.3302 E
73.9710 S, 145.2746 E
84.0091 N, 24.0519 W
22.8619 N, 15.4034 W
82.0811 N, 41.4570 E
58.7922 S, 129.1218 E
44.8502 S, 91.0033 W
54.4698 N, 100.9229 E
84.5740 N, 53.6422 E
26.8174 S, 160.3846 W
65.4491 N, 61.6521 E
22.4624 S, 110.1741 W
30.4315 S, 6.3595 W
57.3689 N, 6.0080 E
21.1277 S, 159.9667 W
40.8446 S, 8.6198 W
78.6677 S, 148.9819 E
77.9442 N, 176.0638 W
52.4426 N, 178.5166 E
53.6671 N, 74.0829 E
35.3031 S, 155.5012 E
11.4943 N, 5.6146 E
43.6816 S, 108.6309 E
4.1253 S, 117.1019 W
22.2767 S, 153.9307 W
79.5236 N, 149.4874 W
12.9613 N, 70.7440 W
28.5583 N, 164.8302 W
83.5843 S, 175.3811 W
68.4897 N, 158.8133 W
31.0609 S, 65.8288 W
65.9893 S, 19.3847 E
33.0042 S, 36.0138 E
79.3154 N, 19.2794 W
55.7187 N, 15.0823 E
67.1577 N, 127.0637 E
29.3699 N, 176.5550 E
4.7731 N, 173.1563 W
8.9573 N, 10.9902 E
32.3269 N, 130.1051 W
74.1708 S, 141.2724 W
63.6230 S, 114.6957 W
11.0077 S, 159.5278 E
6.2094 S, 100.0770 E
6.2868 N, 48.2399 W
19.2634 S, 27.5004 W
86.6302 N, 61.4986 W
41.1184 N, 6.6664 W
36.5162 N, 174.3116 E
73.7639 N, 120.5699 E
50.8051 N, 67.3583 E
25.6629 N, 25.1892 E
58.1335 N, 129.6686 W
74.0015 S, 145.4235 E
57.6443 S, 22.3548 E
23.8442 N, 153.6248 E
30.2785 N, 44.6634 W
64.3384 S, 148.0136 W
85.5431 S, 5.4360 W
3.3346 N, 72.7691 W
55.2155 S, 148.3253 W
9.0351 N, 41.2090 E
83.2324 N, 54.3438 E
9.0419 N, 115.8393 W
42.5171 N, 92.1771 W
23.1930 S, 126.3303 E
76.0881 S, 8.6633 E
64.0540 S, 80.1894 W
40.3977 S, 78.7433 W
66.3158 N, 66.8563 W
88.5562 N, 8.7004 E
11.8944 S, 107.9834 E
33.4401 N, 13.6687 W
85.2329 N, 4.1360 E
0.2142 S, 124.8249 W
24.8290 S, 129.3365 E
6.6032 S, 156.9946 W
88.9319 S, 13.6284 W
54.6161 S, 54.9943 E
72.0091 S, 131.2288 E
25.3307 N, 64.7116 W
59.0552 S, 21.3677 E
27.8592 S, 144.6483 W
25.9830 N, 101.8633 W
53.7407 N, 175.6582 W
43.8809 S, 176.9983 E
84.5847 S, 19.3510 E
25.0351 N, 110.9111 E
55.4880 S, 93.1845 W
20.0786 S, 34.2540 E
32.6948 N, 72.9778 W
14.1801 S, 9.1316 E
71.5462 N, 150.1876 W
29.5399 S, 110.6916 W
47.3153 S, 3.4525 E
73.4996 N, 152.7794 W
35.5518 S, 79.0502 W
85.4087 N, 62.9406 E
56.6245 N, 110.6184 E
35.4871 N, 56.9977 W
47.1788 N, 179.9732 E
42.7997 S, 44.7148 E
68.6305 N, 105.4708 E
36.8725 S, 75.8078 E
61.0208 N, 92.8384 W
21.4801 N, 171.2823 E
8.7782 S, 81.7078 E
77.2039 S, 178.2749 E
68.3063 N, 49.6868 W
34.7376 S, 95.8695 W
22.7485 N, 93.4560 E
77.9950 N, 107.5435 W
6.0263 S, 167.6756 E
3.7366 S, 59.1486 W
50.9222 N, 44.8178 E
71.1277 S, 56.4018 W
36.4788 S, 19.2642 E
39.4092 N, 1.9955 W
84.7954 S, 74.5538 E
26.2615 S, 128.6528 E
11.5961 N, 41.8930 W
81.0199 N, 114.9430 E
70.4885 N, 178.3543 W
45.1748 N, 0.9412 E
30.6330 S, 115.0707 W
80.6801 S, 111.7880 E
27.1276 N, 134.0663 W
9.4347 S, 42.5140 W
45.5786 N, 49.5878 W
16.5982 N, 4.4257 E
14.3908 N, 103.6039 W
55.2907 N, 26.5608 E
56.4203 S, 2.8178 E
89.9559 N, 170.2086 E
5.5362 S, 69.1522 W
26.0253 S, 97.8084 E
11.8554 N, 114.1082 W
23.6700 N, 44.0697 W
32.3204 S, 5.2137 E
83.5413 S, 127.5122 W
77.7934 N, 83.3959 E
35.3718 S, 82.8246 E
6.1710 S, 82.6059 W
53.2938 S, 30.0685 W
0.1820 N, 144.3940 W
7.4729 S, 60.3837 E
22.5141 S, 89.7581 E
37.4737 N, 120.7665 E
30.4418 N, 1.1431 W
67.0789 S, 159.5942 W
39.3407 N, 61.0273 W
61.8151 N, 152.8127 W
50.6563 S, 140.7099 W
55.5388 N, 44.7510 W
77.2696 N, 107.4185 W
79.0210 S, 175.2598 E
57.0636 S, 152.1775 E
52.6707 N, 172.0577 W
83.5830 N, 136.0505 E
28.6056 S, 31.7521 W
13.5382 S, 94.1691 W
69.2729 S, 37.6970 E
87.9164 N, 139.1763 W
84.9809 S, 18.9649 E
9.5053 S, 87.0498 E
89.5753 S, 174.7611 W
11.8219 N, 139.8275 W
18.7330 N, 22.2667 W
75.7511 S, 47.6809 E
18.8708 S, 151.1109 W
50.1784 N, 1.6240 E
43.5699 N, 27.2722 W
79.2579 S, 115.7531 W
6.4387 N, 43.1973 W
23.5159 S, 26.9142 W
77.1512 N, 106.7351 W
56.6549 S, 116.4730 W
52.6249 S, 178.7726 E
74.9859 N, 103.8297 W
43.0357 S, 105.4427 E
29.7184 N, 167.8552 E
51.4224 S, 120.0685 W
34.7722 N, 32.9374 E
58.2655 N, 8.6101 W
12.4674 N, 67.8996 W
40.9320 N, 61.1470 W
11.9796 S, 147.4238 W
58.8081 S, 21.9988 W
38.9382 N, 91.0752 E
67.7532 S, 40.5790 W
9.1108 N, 179.4663 W
56.1241 N, 7.8063 E
89.8325 N, 54.8485 W
6.1820 S, 143.5581 W
54.1289 N, 54.2519 W
12.4401 N, 19.9840 W
19.0192 N, 80.8791 E
75.5312 S, 91.5390 E
27.1128 N, 47.7478 W
70.5063 N, 125.5161 W
53.6970 S, 51.9914 E
46.2294 N, 158.1237 E
40.5149 N, 118.9496 E
6.6659 S, 152.9342 E
5.2286 N, 178.8576 W
32.6995 N, 38.4687 W
28.1097 S, 43.7902 E
63.0139 N, 142.9680 W
61.8050 N, 116.9916 E
29.3708 S, 146.1281 E
55.0827 S, 106.7965 W
11.9855 N, 23.5258 E
74.9625 S, 58.6115 W
69.8900 S, 34.0002 W
0.1579 S, 87.4801 E
28.3215 S, 53.2058 W
3.6819 N, 141.6507 W
55.9148 N, 99.5264 W
49.3716 S, 173.8932 W
33.8461 S, 60.8099 W
64.0806 N, 91.6249 W
10.7693 N, 129.9099 W
67.3346 N, 96.1057 W
86.2787 N, 154.4386 E
14.8625 S, 89.8393 E
80.1007 N, 49.5222 W
61.7255 N, 92.0053 W
69.8265 S, 128.3439 W
20.7482 S, 143.1644 W
66.5230 S, 65.1426 E
7.7377 S, 145.3484 W
0.7717 N, 47.4953 E
68.0380 N, 25.0835 W
65.4669 S, 111.9106 W
8.6459 S, 165.8736 E
70.8999 N, 87.0175 W
79.7142 N, 41.7675 E
28.6531 S, 12.3720 W
27.1693 N, 178.0216 W
59.9374 S, 101.1909 E
7.7711 S, 52.3548 W
21.1007 N, 154.9740 E
44.3846 S, 72.2899 W
35.0088 S, 7.4479 E
9.9481 S, 45.7160 W
89.8856 S, 26.9676 E
52.2861 N, 120.5154 E
38.5324 S, 35.3073 E
80.6114 S, 8.7480 W
56.4371 N, 112.2234 E
80.4132 S, 44.4498 E
70.0637 N, 162.8943 E
51.3222 N, 128.6088 W
3.3159 N, 21.3346 W
73.5549 N, 14.4780 E
88.7595 S, 129.9533 E
0.6564 N, 104.9300 W
53.7533 S, 120.9100 W
77.6461 N, 111.5791 W
46.5777 N, 165.5874 E
58.7386 N, 14.7696 W
16.1323 S, 24.6863 W
36.3896 S, 130.2267 E
52.3739 S, 39.7595 E
6.2564 S, 19.6570 W
89.3370 N, 56.3312 W
41.3055 N, 71.3292 W
10.3861 S, 106.5639 W
62.0919 N, 27.6608 W
58.0268 N, 84.9669 W
50.8680 S, 61.4400 E
63.7049 S, 51.8490 E
31.2742 N, 140.4526 E
72.0591 S, 30.4305 W
37.8890 N, 43.1654 W
54.7875 S, 155.8118 E
13.2039 N, 176.6905 W
36.0670 S, 18.5060 W
15.1530 S, 26.5311 E
20.8696 N, 107.5761 W
82.4933 N, 114.6080 W
60.3873 N, 133.3504 E
88.8806 S, 154.4053 W
72.5075 S, 125.8116 W
26.1761 N, 130.2422 E
18.4670 S, 37.6896 E
71.7451 S, 4.2013 W
66.6201 S, 176.8735 W
26.7631 N, 47.5186 W
32.3364 N, 110.4009 W
70.8818 N, 136.4180 W
46.1038 N, 177.6444 W
17.4558 N, 108.3022 E
81.4787 S, 147.0368 E
68.7925 N, 67.6940 W
15.2384 N, 47.2581 E
27.5424 N, 168.4078 E
29.7380 N, 8.6576 W
11.6804 N, 118.6413 W
70.8265 S, 11.8745 E
84.5035 N, 21.1855 W
42.5523 S, 50.0010 E
60.1476 N, 168.9262 E
77.3361 S, 81.5518 E
80.4002 S, 155.2116 E
38.3624 N, 149.7850 E
29.7358 S, 153.5147 E
3.2370 N, 75.9551 E
29.4349 S, 154.1294 E
83.0995 N, 136.3826 W
39.0796 S, 145.8998 E
84.3539 N, 22.3427 E
71.5139 S, 160.8534 W
71.3130 N, 17.5594 W
10.0884 S, 94.9228 E
19.4236 S, 121.1956 E
57.1240 S, 108.6967 E
42.0306 N, 145.1676 W
41.5151 S, 50.0033 W
38.8187 N, 27.6576 E
85.0969 N, 5.3882 W
10.7670 S, 147.5946 E
45.0809 N, 86.1987 E
71.2500 N, 34.1926 W
62.5354 N, 141.9548 E
16.3997 N, 40.5735 W
86.8212 S, 155.6060 W
18.3002 S, 24.5825 E
68.4487 S, 69.4012 E
59.6236 N, 0.1566 E
4.1219 N, 12.4297 W
21.7694 N, 82.6152 E
6.6664 N, 75.3208 W
68.1384 S, 29.7125 E
43.0037 N, 94.4269 E
2.6434 S, 138.3791 W
23.3372 N, 3.4894 E
1.3130 S, 177.8623 E
74.0300 N, 4.9271 W
80.7351 N, 176.3513 W
67.3915 N, 37.0890 W
42.4840 N, 144.7318 E
1.9173 S, 99.6180 W
22.1480 N, 44.7396 E
33.4568 N, 97.6460 W
72.8444 S, 150.1814 E
19.2322 N, 52.0946 E
78.5424 N, 133.5060 E
83.3879 S, 91.4531 E
88.6476 N, 49.8293 W
36.8828 N, 151.7096 E
1.0039 S, 33.4499 E
55.1419 N, 0.3440 E
36.3980 S, 61.5565 W
60.9209 N, 145.9082 E
74.2156 S, 53.2388 W
48.8611 S, 127.7790 W
83.7440 N, 74.0224 W
72.8815 S, 156.1194 E
36.8965 N, 77.5371 E
54.7692 S, 5.6658 W
81.6321 N, 38.9116 W
77.0440 N, 41.7864 E
13.5415 N, 39.3734 W
7.0720 N, 19.5365 W
15.6970 N, 174.8717 W
80.9896 N, 114.5842 E
4.5865 S, 126.9053 E
7.0302 S, 170.9162 E
25.7670 N, 75.5574 E
13.5885 N, 151.6190 W
37.7256 S, 62.7775 E
64.0234 S, 16.5407 W
22.1474 N, 159.3770 E
82.7907 S, 45.6549 E
49.6382 N, 60.7643 W
27.2234 S, 64.9019 E
6.9334 N, 104.9863 E
17.5792 N, 121.8807 W
58.3911 N, 95.7551 E
44.4293 S, 32.8619 E
67.5848 S, 54.4645 W
75.9816 N, 44.4331 E
33.2559 N, 40.9799 E
41.8497 S, 130.4826 E
9.8714 S, 156.6066 W
25.4193 S, 37.1589 W
26.6619 N, 166.3763 W
82.5779 S, 134.4049 W
33.2769 N, 151.2759 E
55.8296 N, 23.8458 E
38.9357 N, 47.3191 E
47.8190 N, 81.4303 W
47.2535 S, 170.0284 W
89.0738 N, 136.3082 W
0.3740 N, 66.7050 E
51.7493 S, 51.7863 W
6.2652 S, 86.2392 E
75.8031 S, 9.5084 E
88.1595 S, 10.8211 W
71.7868 S, 49.2051 E
4.0428 S, 155.8866 E
21.5845 N, 33.8053 W
22.0081 S, 7.3118 E
32.5433 N, 12.7253 E
78.0333 N, 25.2699 E
46.4707 N, 84.1602 E
58.0673 N, 108.7034 W
7.9452 N, 96.1919 W
57.9314 S, 54.5599 W
5.8208 S, 34.8056 E
41.7729 S, 4.2590 E
89.4322 N, 46.9281 E
55.3246 S, 150.1482 E
67.4424 N, 79.3453 E
5.5290 S, 111.5344 W
15.8190 S, 34.7980 W
78.8411 N, 58.0123 E
46.5465 N, 56.8093 E
39.0409 N, 70.7668 E
49.1871 N, 99.2690 W
74.4997 S, 6.1737 W
30.2881 S, 49.7654 E
57.2636 S, 46.4632 E
21.2464 S, 153.8318 W
32.8970 N, 6.7882 E
33.0597 S, 40.2936 E
83.8471 N, 168.8552 E
56.7821 N, 94.0719 E
53.6644 S, 157.8580 E
31.5479 N, 37.9694 W
86.3239 N, 40.0197 W
6.0559 S, 5.4890 E
28.7625 N, 172.6967 W
65.8128 N, 69.6398 W
79.4131 S, 78.2113 E
79.4310 S, 26.6453 E
18.2424 S, 119.3755 W
16.6661 S, 135.3060 W
47.0325 N, 167.2698 W
24.5809 S, 50.7845 E
76.9121 N, 156.9105 E
46.4396 S, 73.6953 E
61.5397 N, 3.9181 E
3.8351 S, 80.7935 W
30.9786 S, 8.1235 W
36.2995 N, 113.0287 E
83.8918 S, 129.0451 W
59.9489 N, 87.3965 E
43.8758 S, 17.2375 E
40.6731 N, 141.7133 W
86.8721 S, 172.5561 E
16.4500 N, 14.9358 E
12.6629 S, 55.6091 E
84.7803 S, 3.5176 W
21.5639 S, 1.1292 E
57.4016 S, 40.6683 W
62.4002 N, 3.7520 E
84.9793 S, 81.5951 E
49.1667 S, 51.9548 W
7.0230 N, 171.2075 E
40.4481 S, 16.9844 W
77.0754 S, 61.8652 E
62.9799 N, 31.5686 E
45.5238 S, 114.9041 E
34.8031 N, 66.2476 W
24.1821 N, 157.7116 E
24.9635 N, 161.6927 E
5.8094 S, 16.7636 E
59.8582 N, 4.8177 W
2.9426 S, 133.9302 E
75.9277 N, 71.6022 E
71.4265 N, 100.7766 W
84.3768 S, 71.9547 E
74.6414 N, 20.6934 E
65.5289 S, 171.4582 W
40.0811 N, 11.5797 E
77.8093 N, 109.4178 W
77.6728 S, 63.3926 E
67.0796 S, 26.2622 E
77.3400 N, 25.8602 W
85.4147 N, 20.3339 E
87.6599 S, 178.7304 W
43.6776 N, 110.7869 W
72.2251 S, 119.5885 E
77.8060 S, 60.6096 W
67.1130 N, 131.7901 E
37.7471 N, 37.7279 E
0.9411 S, 118.6232 E
54.3775 S, 61.8861 W
42.0062 N, 97.6854 E
76.4743 S, 99.4010 W
48.2884 S, 83.7599 W
32.2642 N, 164.2324 W
85.0223 S, 4.4569 W
41.8874 N, 15.1652 E
55.3434 N, 92.1462 E
88.0645 S, 70.3258 E
43.7411 S, 15.3364 W
47.9158 N, 87.4811 W
17.1434 S, 58.5244 W
51.5712 N, 167.4220 W
68.2611 N, 79.3044 E
24.2488 N, 144.6115 E
89.5419 S, 165.6363 E
55.0160 N, 47.2990 E
89.4737 N, 71.7698 E
85.3227 S, 160.3415 E
14.7076 S, 7.6893 W
57.8259 S, 88.8245 E
70.4066 N, 131.9961 E
55.9959 N, 18.6594 E
76.4397 N, 118.3409 W
58.8848 N, 42.0183 E
38.3434 S, 106.7768 E
47.8014 N, 143.1454 E
81.3569 N, 9.7616 E
47.6438 N, 159.1155 E
84.2529 N, 30.9296 E
23.2990 S, 83.5202 E
12.3823 S, 77.7196 W
30.8125 N, 37.0423 W
45.6839 S, 93.4821 W
14.9842 S, 91.6297 E
76.9003 S, 23.6871 E
25.0669 N, 134.8278 W
8.4037 N, 150.7742 E
22.2208 S, 69.4117 W
11.3088 S, 14.4947 E
14.1284 N, 168.7873 W
16.0628 S, 131.8398 E
31.6823 S, 72.7736 W
18.0457 S, 76.0703 E
17.3544 S, 65.1347 W
8.6678 S, 118.3296 W
65.3371 S, 86.7848 W
74.8433 S, 44.3534 E
63.0481 S, 143.9328 E
8.3982 N, 38.1200 W
21.0191 N, 13.4623 E
41.5139 S, 73.0433 W
39.3193 N, 172.0249 W
89.9615 S, 174.1762 E
6.4529 S, 79.9390 E
12.2596 N, 49.4436 W
34.4497 N, 27.4526 E
87.8042 S, 85.4758 W
16.6049 N, 7.3825 W
62.2626 S, 162.1237 W
25.7141 N, 21.5083 E
50.7324 N, 166.5578 E
50.2930 N, 164.1701 E
78.1764 S, 132.1838 W
83.2130 N, 176.9544 W
55.4300 N, 83.9763 E
75.3033 N, 130.3845 E
43.0646 S, 144.2851 E
78.3117 N, 36.9188 E
16.6445 N, 0.0678 E
33.4021 S, 117.3263 W
45.1999 S, 173.3338 E
26.8998 S, 168.9147 E
75.1959 S, 155.7537 E
9.5174 N, 117.7660 W
84.0060 N, 24.0094 E
64.7992 S, 92.7504 W
54.4090 N, 99.6455 W
73.9861 S, 27.9339 W
82.5599 N, 31.8585 E
67.8508 N, 63.6316 W
59.0785 S, 12.9252 E
76.0233 N, 100.8347 E
0.7521 N, 10.7574 E
21.3196 N, 170.5470 E
10.6890 N, 166.3006 E
4.7123 N, 62.9353 W
22.9897 N, 170.3369 W
10.4862 N, 155.6788 W
43.5035 S, 40.6696 W
67.9133 S, 24.1561 W
5.6658 N, 82.7685 E
83.6402 N, 77.7679 E
67.8523 N, 126.5677 E
1.9597 N, 151.3790 E
72.7049 S, 6.3306 W
0.3073 S, 34.2214 W
52.4336 S, 141.8422 E
81.3107 S, 16.1063 W
26.3150 S, 32.8961 W
24.4488 S, 175.7560 E
61.1470 S, 122.8667 E
33.5526 S, 9.1273 W
81.5346 N, 1.5189 E
49.9192 N, 45.3846 W
0.6881 S, 163.5228 E
32.1850 N, 136.3430 W
54.4501 S, 131.6858 W
29.3702 N, 151.1607 W
87.7579 N, 76.3255 E
